age,sex,activities,romantic,Medu,Fedu,Pstatus,studytime,school,final_grade
2,1,2,2,1,3,T,3,college,1
2,1,1,2,1,1,T,1,college,5
2,2,2,2,1,4,T,2,college,3
3,2,2,1,1,1,A,1,college,3
2,2,1,2,1,3,T,4,college,5
2,2,1,2,4,2,T,2,college,4
3,2,2,1,1,3,A,3,college,3
2,2,1,1,4,4,T,3,college,5
2,1,2,2,4,1,T,1,college,2
1,2,1,2,1,3,T,3,college,5
2,2,2,2,2,3,T,3,college,3
2,2,2,1,1,3,T,1,college,5
2,2,2,2,2,2,T,1,college,3
1,2,2,1,2,4,T,1,college,2
2,2,2,1,3,2,T,2,college,5
2,2,1,2,3,4,A,2,college,1
2,1,2,2,2,3,A,1,college,5
2,1,2,1,2,2,T,1,college,5
1,2,1,1,4,3,A,2,college,7
1,1,2,2,1,3,T,2,college,6
1,2,1,1,1,1,T,2,college,6
2,2,2,2,1,3,T,3,college,6
1,2,2,2,2,2,T,2,college,7
1,2,1,2,1,4,T,3,college,7
2,2,1,2,4,4,T,2,college,4
1,2,2,1,4,4,T,2,college,7
2,1,1,2,1,3,T,2,college,4
2,2,2,2,1,3,T,1,college,3
2,1,2,1,1,1,T,1,college,4
3,2,2,2,1,2,T,2,college,3
2,2,2,1,3,1,T,2,college,7
2,2,2,2,4,4,T,1,college,7
3,2,2,1,4,2,A,1,college,7
1,2,2,2,1,1,T,1,college,4
2,2,2,2,3,3,T,2,college,5
2,2,1,2,3,4,T,2,college,6
1,2,1,1,4,4,T,2,college,6
2,2,2,2,3,4,T,2,college,6
2,1,1,1,3,3,T,2,college,6
2,2,1,1,4,1,T,2,college,6
1,2,2,2,3,4,T,3,college,7
1,2,2,1,1,2,T,4,college,4
2,2,2,1,3,2,T,2,college,6
1,2,1,1,3,4,T,2,college,5
1,2,1,1,2,2,T,2,college,7
1,2,2,2,3,3,T,2,college,6
1,2,1,2,2,4,T,2,college,7
2,2,2,2,3,4,T,3,college,7
1,2,2,2,4,1,T,2,college,6
1,2,2,1,2,3,T,2,college,7
1,2,2,1,3,1,A,2,college,7
1,2,2,1,1,3,T,2,college,7
1,1,2,2,4,4,T,2,college,3
1,2,1,2,2,2,T,2,college,7
1,2,1,2,2,2,T,3,college,7
1,1,1,2,1,3,T,2,college,6
2,1,1,2,1,2,A,3,college,6
1,2,1,1,4,4,A,3,college,7
2,2,2,2,4,4,A,2,college,2
1,1,1,2,3,3,T,1,college,2
2,1,2,2,1,1,T,1,college,2
2,1,2,2,4,4,T,2,college,1
2,1,1,2,1,1,T,2,college,2
2,1,2,1,1,1,T,3,college,1
2,1,2,2,1,1,T,3,college,1
3,1,1,2,4,4,T,2,college,1
1,2,1,1,1,2,T,1,college,1
2,1,1,2,3,3,A,4,college,2
2,1,1,1,3,3,T,1,college,1
2,1,1,1,1,1,A,4,college,0
1,2,1,2,3,3,T,2,college,2
2,1,2,2,3,2,T,2,college,1
1,1,1,1,2,3,T,4,college,3
1,1,1,2,1,1,T,3,college,2
1,1,1,1,4,4,T,4,college,3
1,1,2,2,3,2,T,2,college,1
1,1,1,1,3,4,T,2,college,0
1,1,1,2,1,1,T,4,college,3
1,1,1,2,1,2,T,4,college,1
1,1,1,2,4,3,T,4,college,4
1,1,1,2,1,2,T,2,college,3
1,1,2,1,1,1,T,3,college,3
1,1,1,2,1,1,T,2,college,1
2,1,1,2,3,3,T,2,college,2
1,1,1,1,3,3,T,2,college,0
1,1,1,2,2,2,T,2,college,2
1,1,1,1,3,1,A,2,college,0
1,1,2,1,3,3,T,1,college,0
2,1,1,2,1,2,A,3,college,5
1,1,2,2,1,1,T,3,college,5
1,1,2,2,3,4,T,2,college,1
2,1,1,1,4,4,T,2,college,4
1,1,2,2,3,1,T,3,college,3
